run_id,batch,started_at,ended_at,rows_read,rows_valid,rows_rejected,rows_loaded,status
1,orders_batch_1,2026-08-19T06:07:52.787229+00:00,2026-08-19T06:07:52.831160+00:00,420,386,34,386,success
2,orders_batch_1,2026-08-19T06:07:52.836091+00:00,2026-08-19T06:07:52.877784+00:00,420,386,34,0,success
3,orders_batch_2,2026-08-19T06:07:52.882604+00:00,2026-08-19T06:07:52.917093+00:00,424,383,40,383,success
4,orders_batch_3,2026-08-19T06:07:52.921247+00:00,2026-08-19T06:07:52.955755+00:00,424,383,38,382,success
